
  0%|          | 0/500 [00:00<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.623880 | DKL-prior 0.000063 | BCE 0.675492 | auROC 0.6239:   0%|          | 0/500 [00:33<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.623880 | DKL-prior 0.000063 | BCE 0.675492 | auROC 0.6239:   0%|          | 0/500 [00:33<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.623880 | DKL-prior 0.000063 | BCE 0.675492 | auROC 0.6239:   0%|          | 1/500 [00:33<4:37:14, 33.34s/it]
[VAL] Best epoch 2 | Best val score -0.631885 | DKL-prior 0.000154 | BCE 0.669279 | auROC 0.6319:   0%|          | 1/500 [01:03<4:37:14, 33.34s/it]
[VAL] Best epoch 2 | Best val score -0.631885 | DKL-prior 0.000154 | BCE 0.669279 | auROC 0.6319:   0%|          | 1/500 [01:03<4:37:14, 33.34s/it]
[VAL] Best epoch 2 | Best val score -0.631885 | DKL-prior 0.000154 | BCE 0.669279 | auROC 0.6319:   0%|          | 2/500 [01:03<4:23:32, 31.75s/it]
[VAL] Best epoch 2 | Best val score -0.631885 | DKL-prior 0.000154 | BCE 0.669279 | auROC 0.6319:   1%|          | 3/500 [01:34<4:17:29, 31.09s/it]
[VAL] Best epoch 4 | Best val score -0.634844 | DKL-prior 0.000274 | BCE 0.670095 | auROC 0.6348:   1%|          | 3/500 [02:04<4:17:29, 31.09s/it]
[VAL] Best epoch 4 | Best val score -0.634844 | DKL-prior 0.000274 | BCE 0.670095 | auROC 0.6348:   1%|          | 3/500 [02:04<4:17:29, 31.09s/it]
[VAL] Best epoch 4 | Best val score -0.634844 | DKL-prior 0.000274 | BCE 0.670095 | auROC 0.6348:   1%|          | 4/500 [02:04<4:15:05, 30.86s/it]
[VAL] Best epoch 4 | Best val score -0.634844 | DKL-prior 0.000274 | BCE 0.670095 | auROC 0.6348:   1%|          | 5/500 [02:35<4:13:36, 30.74s/it]
[VAL] Best epoch 6 | Best val score -0.655124 | DKL-prior 0.000292 | BCE 0.656181 | auROC 0.6551:   1%|          | 5/500 [03:05<4:13:36, 30.74s/it]
[VAL] Best epoch 6 | Best val score -0.655124 | DKL-prior 0.000292 | BCE 0.656181 | auROC 0.6551:   1%|          | 5/500 [03:05<4:13:36, 30.74s/it]
[VAL] Best epoch 6 | Best val score -0.655124 | DKL-prior 0.000292 | BCE 0.656181 | auROC 0.6551:   1%|          | 6/500 [03:05<4:12:28, 30.66s/it]
[VAL] Best epoch 7 | Best val score -0.694174 | DKL-prior 0.000288 | BCE 0.637319 | auROC 0.6942:   1%|          | 6/500 [03:35<4:12:28, 30.66s/it]
[VAL] Best epoch 7 | Best val score -0.694174 | DKL-prior 0.000288 | BCE 0.637319 | auROC 0.6942:   1%|          | 6/500 [03:35<4:12:28, 30.66s/it]
[VAL] Best epoch 7 | Best val score -0.694174 | DKL-prior 0.000288 | BCE 0.637319 | auROC 0.6942:   1%|▏         | 7/500 [03:35<4:10:02, 30.43s/it]
[VAL] Best epoch 8 | Best val score -0.743627 | DKL-prior 0.000314 | BCE 0.610803 | auROC 0.7436:   1%|▏         | 7/500 [04:05<4:10:02, 30.43s/it]
[VAL] Best epoch 8 | Best val score -0.743627 | DKL-prior 0.000314 | BCE 0.610803 | auROC 0.7436:   1%|▏         | 7/500 [04:05<4:10:02, 30.43s/it]
[VAL] Best epoch 8 | Best val score -0.743627 | DKL-prior 0.000314 | BCE 0.610803 | auROC 0.7436:   2%|▏         | 8/500 [04:05<4:08:26, 30.30s/it]
[VAL] Best epoch 8 | Best val score -0.743627 | DKL-prior 0.000314 | BCE 0.610803 | auROC 0.7436:   2%|▏         | 9/500 [04:35<4:07:12, 30.21s/it]
[VAL] Best epoch 10 | Best val score -0.759489 | DKL-prior 0.000354 | BCE 0.585319 | auROC 0.7595:   2%|▏         | 9/500 [05:06<4:07:12, 30.21s/it]
[VAL] Best epoch 10 | Best val score -0.759489 | DKL-prior 0.000354 | BCE 0.585319 | auROC 0.7595:   2%|▏         | 9/500 [05:06<4:07:12, 30.21s/it]
[VAL] Best epoch 10 | Best val score -0.759489 | DKL-prior 0.000354 | BCE 0.585319 | auROC 0.7595:   2%|▏         | 10/500 [05:06<4:06:43, 30.21s/it]
[VAL] Best epoch 10 | Best val score -0.759489 | DKL-prior 0.000354 | BCE 0.585319 | auROC 0.7595:   2%|▏         | 11/500 [05:36<4:06:50, 30.29s/it]
[VAL] Best epoch 12 | Best val score -0.775598 | DKL-prior 0.000342 | BCE 0.562806 | auROC 0.7756:   2%|▏         | 11/500 [06:06<4:06:50, 30.29s/it]
[VAL] Best epoch 12 | Best val score -0.775598 | DKL-prior 0.000342 | BCE 0.562806 | auROC 0.7756:   2%|▏         | 11/500 [06:06<4:06:50, 30.29s/it]
[VAL] Best epoch 12 | Best val score -0.775598 | DKL-prior 0.000342 | BCE 0.562806 | auROC 0.7756:   2%|▏         | 12/500 [06:06<4:06:33, 30.32s/it]
[VAL] Best epoch 12 | Best val score -0.775598 | DKL-prior 0.000342 | BCE 0.562806 | auROC 0.7756:   3%|▎         | 13/500 [06:37<4:05:39, 30.27s/it]
[VAL] Best epoch 12 | Best val score -0.775598 | DKL-prior 0.000342 | BCE 0.562806 | auROC 0.7756:   3%|▎         | 14/500 [07:07<4:05:38, 30.33s/it]
[VAL] Best epoch 15 | Best val score -0.775806 | DKL-prior 0.000377 | BCE 0.561368 | auROC 0.7758:   3%|▎         | 14/500 [07:37<4:05:38, 30.33s/it]
[VAL] Best epoch 15 | Best val score -0.775806 | DKL-prior 0.000377 | BCE 0.561368 | auROC 0.7758:   3%|▎         | 14/500 [07:37<4:05:38, 30.33s/it]
[VAL] Best epoch 15 | Best val score -0.775806 | DKL-prior 0.000377 | BCE 0.561368 | auROC 0.7758:   3%|▎         | 15/500 [07:37<4:04:39, 30.27s/it]
[VAL] Best epoch 16 | Best val score -0.786863 | DKL-prior 0.000327 | BCE 0.551283 | auROC 0.7869:   3%|▎         | 15/500 [08:08<4:04:39, 30.27s/it]
[VAL] Best epoch 16 | Best val score -0.786863 | DKL-prior 0.000327 | BCE 0.551283 | auROC 0.7869:   3%|▎         | 15/500 [08:08<4:04:39, 30.27s/it]
[VAL] Best epoch 16 | Best val score -0.786863 | DKL-prior 0.000327 | BCE 0.551283 | auROC 0.7869:   3%|▎         | 16/500 [08:08<4:04:27, 30.30s/it]
[VAL] Best epoch 17 | Best val score -0.788934 | DKL-prior 0.000405 | BCE 0.545792 | auROC 0.7889:   3%|▎         | 16/500 [08:38<4:04:27, 30.30s/it]
[VAL] Best epoch 17 | Best val score -0.788934 | DKL-prior 0.000405 | BCE 0.545792 | auROC 0.7889:   3%|▎         | 16/500 [08:38<4:04:27, 30.30s/it]
[VAL] Best epoch 17 | Best val score -0.788934 | DKL-prior 0.000405 | BCE 0.545792 | auROC 0.7889:   3%|▎         | 17/500 [08:38<4:04:16, 30.34s/it]
[VAL] Best epoch 17 | Best val score -0.788934 | DKL-prior 0.000405 | BCE 0.545792 | auROC 0.7889:   4%|▎         | 18/500 [09:08<4:03:02, 30.25s/it]
[VAL] Best epoch 17 | Best val score -0.788934 | DKL-prior 0.000405 | BCE 0.545792 | auROC 0.7889:   4%|▍         | 19/500 [09:38<4:02:12, 30.21s/it]
