
  0%|          | 0/500 [00:00<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.623350 | DKL-prior 0.000159 | BCE 0.671600 | auROC 0.6233:   0%|          | 0/500 [00:32<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.623350 | DKL-prior 0.000159 | BCE 0.671600 | auROC 0.6233:   0%|          | 0/500 [00:32<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.623350 | DKL-prior 0.000159 | BCE 0.671600 | auROC 0.6233:   0%|          | 1/500 [00:32<4:33:30, 32.89s/it]
[VAL] Best epoch 2 | Best val score -0.628662 | DKL-prior 0.000194 | BCE 0.668957 | auROC 0.6287:   0%|          | 1/500 [01:03<4:33:30, 32.89s/it]
[VAL] Best epoch 2 | Best val score -0.628662 | DKL-prior 0.000194 | BCE 0.668957 | auROC 0.6287:   0%|          | 1/500 [01:03<4:33:30, 32.89s/it]
[VAL] Best epoch 2 | Best val score -0.628662 | DKL-prior 0.000194 | BCE 0.668957 | auROC 0.6287:   0%|          | 2/500 [01:03<4:23:14, 31.72s/it]
[VAL] Best epoch 3 | Best val score -0.633372 | DKL-prior 0.000251 | BCE 0.665852 | auROC 0.6334:   0%|          | 2/500 [01:34<4:23:14, 31.72s/it]
[VAL] Best epoch 3 | Best val score -0.633372 | DKL-prior 0.000251 | BCE 0.665852 | auROC 0.6334:   0%|          | 2/500 [01:34<4:23:14, 31.72s/it]
[VAL] Best epoch 3 | Best val score -0.633372 | DKL-prior 0.000251 | BCE 0.665852 | auROC 0.6334:   1%|          | 3/500 [01:34<4:19:37, 31.34s/it]
[VAL] Best epoch 3 | Best val score -0.633372 | DKL-prior 0.000251 | BCE 0.665852 | auROC 0.6334:   1%|          | 4/500 [02:04<4:15:42, 30.93s/it]
[VAL] Best epoch 5 | Best val score -0.644451 | DKL-prior 0.000268 | BCE 0.663294 | auROC 0.6445:   1%|          | 4/500 [02:35<4:15:42, 30.93s/it]
[VAL] Best epoch 5 | Best val score -0.644451 | DKL-prior 0.000268 | BCE 0.663294 | auROC 0.6445:   1%|          | 4/500 [02:35<4:15:42, 30.93s/it]
[VAL] Best epoch 5 | Best val score -0.644451 | DKL-prior 0.000268 | BCE 0.663294 | auROC 0.6445:   1%|          | 5/500 [02:35<4:13:24, 30.72s/it]
[VAL] Best epoch 6 | Best val score -0.672121 | DKL-prior 0.000285 | BCE 0.651262 | auROC 0.6721:   1%|          | 5/500 [03:05<4:13:24, 30.72s/it]
[VAL] Best epoch 6 | Best val score -0.672121 | DKL-prior 0.000285 | BCE 0.651262 | auROC 0.6721:   1%|          | 5/500 [03:05<4:13:24, 30.72s/it]
[VAL] Best epoch 6 | Best val score -0.672121 | DKL-prior 0.000285 | BCE 0.651262 | auROC 0.6721:   1%|          | 6/500 [03:05<4:11:42, 30.57s/it]
[VAL] Best epoch 7 | Best val score -0.686391 | DKL-prior 0.000299 | BCE 0.641397 | auROC 0.6864:   1%|          | 6/500 [03:36<4:11:42, 30.57s/it]
[VAL] Best epoch 7 | Best val score -0.686391 | DKL-prior 0.000299 | BCE 0.641397 | auROC 0.6864:   1%|          | 6/500 [03:36<4:11:42, 30.57s/it]
[VAL] Best epoch 7 | Best val score -0.686391 | DKL-prior 0.000299 | BCE 0.641397 | auROC 0.6864:   1%|▏         | 7/500 [03:36<4:11:20, 30.59s/it]
[VAL] Best epoch 8 | Best val score -0.717709 | DKL-prior 0.000317 | BCE 0.622036 | auROC 0.7177:   1%|▏         | 7/500 [04:06<4:11:20, 30.59s/it]
