
  0%|          | 0/500 [00:00<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.664493 | DKL-prior 0.000098 | BCE 0.647835 | auROC 0.6645:   0%|          | 0/500 [01:11<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.664493 | DKL-prior 0.000098 | BCE 0.647835 | auROC 0.6645:   0%|          | 0/500 [01:11<?, ?it/s]
[VAL] Best epoch 1 | Best val score -0.664493 | DKL-prior 0.000098 | BCE 0.647835 | auROC 0.6645:   0%|          | 1/500 [01:11<9:57:30, 71.84s/it]
[VAL] Best epoch 2 | Best val score -0.696017 | DKL-prior 0.000190 | BCE 0.630807 | auROC 0.6960:   0%|          | 1/500 [02:23<9:57:30, 71.84s/it]
[VAL] Best epoch 2 | Best val score -0.696017 | DKL-prior 0.000190 | BCE 0.630807 | auROC 0.6960:   0%|          | 1/500 [02:23<9:57:30, 71.84s/it]
[VAL] Best epoch 2 | Best val score -0.696017 | DKL-prior 0.000190 | BCE 0.630807 | auROC 0.6960:   0%|          | 2/500 [02:23<9:55:30, 71.75s/it]
[VAL] Best epoch 3 | Best val score -0.733655 | DKL-prior 0.000285 | BCE 0.609004 | auROC 0.7337:   0%|          | 2/500 [03:35<9:55:30, 71.75s/it]
[VAL] Best epoch 3 | Best val score -0.733655 | DKL-prior 0.000285 | BCE 0.609004 | auROC 0.7337:   0%|          | 2/500 [03:35<9:55:30, 71.75s/it]
[VAL] Best epoch 3 | Best val score -0.733655 | DKL-prior 0.000285 | BCE 0.609004 | auROC 0.7337:   1%|          | 3/500 [03:35<9:54:18, 71.75s/it]
[VAL] Best epoch 4 | Best val score -0.757748 | DKL-prior 0.000353 | BCE 0.581949 | auROC 0.7577:   1%|          | 3/500 [04:47<9:54:18, 71.75s/it]
[VAL] Best epoch 4 | Best val score -0.757748 | DKL-prior 0.000353 | BCE 0.581949 | auROC 0.7577:   1%|          | 3/500 [04:47<9:54:18, 71.75s/it]
[VAL] Best epoch 4 | Best val score -0.757748 | DKL-prior 0.000353 | BCE 0.581949 | auROC 0.7577:   1%|          | 4/500 [04:47<9:55:21, 72.02s/it]
[VAL] Best epoch 5 | Best val score -0.775795 | DKL-prior 0.000370 | BCE 0.565431 | auROC 0.7758:   1%|          | 4/500 [06:00<9:55:21, 72.02s/it]
[VAL] Best epoch 5 | Best val score -0.775795 | DKL-prior 0.000370 | BCE 0.565431 | auROC 0.7758:   1%|          | 4/500 [06:00<9:55:21, 72.02s/it]
[VAL] Best epoch 5 | Best val score -0.775795 | DKL-prior 0.000370 | BCE 0.565431 | auROC 0.7758:   1%|          | 5/500 [06:00<9:55:37, 72.20s/it]
[VAL] Best epoch 6 | Best val score -0.789582 | DKL-prior 0.000320 | BCE 0.555688 | auROC 0.7896:   1%|          | 5/500 [07:11<9:55:37, 72.20s/it]
[VAL] Best epoch 6 | Best val score -0.789582 | DKL-prior 0.000320 | BCE 0.555688 | auROC 0.7896:   1%|          | 5/500 [07:11<9:55:37, 72.20s/it]
[VAL] Best epoch 6 | Best val score -0.789582 | DKL-prior 0.000320 | BCE 0.555688 | auROC 0.7896:   1%|          | 6/500 [07:11<9:53:14, 72.05s/it]
[VAL] Best epoch 7 | Best val score -0.795420 | DKL-prior 0.000326 | BCE 0.548455 | auROC 0.7954:   1%|          | 6/500 [08:23<9:53:14, 72.05s/it]
[VAL] Best epoch 7 | Best val score -0.795420 | DKL-prior 0.000326 | BCE 0.548455 | auROC 0.7954:   1%|          | 6/500 [08:23<9:53:14, 72.05s/it]
[VAL] Best epoch 7 | Best val score -0.795420 | DKL-prior 0.000326 | BCE 0.548455 | auROC 0.7954:   1%|▏         | 7/500 [08:23<9:51:23, 71.97s/it]
[VAL] Best epoch 8 | Best val score -0.809426 | DKL-prior 0.000390 | BCE 0.533684 | auROC 0.8094:   1%|▏         | 7/500 [09:35<9:51:23, 71.97s/it]
[VAL] Best epoch 8 | Best val score -0.809426 | DKL-prior 0.000390 | BCE 0.533684 | auROC 0.8094:   1%|▏         | 7/500 [09:35<9:51:23, 71.97s/it]
[VAL] Best epoch 8 | Best val score -0.809426 | DKL-prior 0.000390 | BCE 0.533684 | auROC 0.8094:   2%|▏         | 8/500 [09:35<9:48:57, 71.82s/it]
[VAL] Best epoch 9 | Best val score -0.825668 | DKL-prior 0.000336 | BCE 0.524641 | auROC 0.8257:   2%|▏         | 8/500 [10:46<9:48:57, 71.82s/it]
[VAL] Best epoch 9 | Best val score -0.825668 | DKL-prior 0.000336 | BCE 0.524641 | auROC 0.8257:   2%|▏         | 8/500 [10:46<9:48:57, 71.82s/it]
[VAL] Best epoch 9 | Best val score -0.825668 | DKL-prior 0.000336 | BCE 0.524641 | auROC 0.8257:   2%|▏         | 9/500 [10:46<9:47:04, 71.74s/it]
[VAL] Best epoch 10 | Best val score -0.835560 | DKL-prior 0.000355 | BCE 0.504523 | auROC 0.8356:   2%|▏         | 9/500 [11:58<9:47:04, 71.74s/it]
[VAL] Best epoch 10 | Best val score -0.835560 | DKL-prior 0.000355 | BCE 0.504523 | auROC 0.8356:   2%|▏         | 9/500 [11:58<9:47:04, 71.74s/it]
[VAL] Best epoch 10 | Best val score -0.835560 | DKL-prior 0.000355 | BCE 0.504523 | auROC 0.8356:   2%|▏         | 10/500 [11:58<9:45:39, 71.71s/it]
[VAL] Best epoch 11 | Best val score -0.841170 | DKL-prior 0.000396 | BCE 0.492282 | auROC 0.8412:   2%|▏         | 10/500 [13:09<9:45:39, 71.71s/it]
[VAL] Best epoch 11 | Best val score -0.841170 | DKL-prior 0.000396 | BCE 0.492282 | auROC 0.8412:   2%|▏         | 10/500 [13:09<9:45:39, 71.71s/it]
[VAL] Best epoch 11 | Best val score -0.841170 | DKL-prior 0.000396 | BCE 0.492282 | auROC 0.8412:   2%|▏         | 11/500 [13:09<9:43:52, 71.64s/it]
[VAL] Best epoch 11 | Best val score -0.841170 | DKL-prior 0.000396 | BCE 0.492282 | auROC 0.8412:   2%|▏         | 12/500 [14:21<9:42:20, 71.60s/it]
[VAL] Best epoch 13 | Best val score -0.855806 | DKL-prior 0.000410 | BCE 0.489248 | auROC 0.8558:   2%|▏         | 12/500 [15:33<9:42:20, 71.60s/it]
[VAL] Best epoch 13 | Best val score -0.855806 | DKL-prior 0.000410 | BCE 0.489248 | auROC 0.8558:   2%|▏         | 12/500 [15:33<9:42:20, 71.60s/it]
[VAL] Best epoch 13 | Best val score -0.855806 | DKL-prior 0.000410 | BCE 0.489248 | auROC 0.8558:   3%|▎         | 13/500 [15:33<9:41:11, 71.61s/it]
[VAL] Best epoch 14 | Best val score -0.859128 | DKL-prior 0.000392 | BCE 0.474643 | auROC 0.8591:   3%|▎         | 13/500 [16:44<9:41:11, 71.61s/it]
[VAL] Best epoch 14 | Best val score -0.859128 | DKL-prior 0.000392 | BCE 0.474643 | auROC 0.8591:   3%|▎         | 13/500 [16:44<9:41:11, 71.61s/it]
[VAL] Best epoch 14 | Best val score -0.859128 | DKL-prior 0.000392 | BCE 0.474643 | auROC 0.8591:   3%|▎         | 14/500 [16:44<9:39:57, 71.60s/it]
[VAL] Best epoch 15 | Best val score -0.864597 | DKL-prior 0.000308 | BCE 0.461271 | auROC 0.8646:   3%|▎         | 14/500 [17:56<9:39:57, 71.60s/it]
[VAL] Best epoch 15 | Best val score -0.864597 | DKL-prior 0.000308 | BCE 0.461271 | auROC 0.8646:   3%|▎         | 14/500 [17:56<9:39:57, 71.60s/it]
[VAL] Best epoch 15 | Best val score -0.864597 | DKL-prior 0.000308 | BCE 0.461271 | auROC 0.8646:   3%|▎         | 15/500 [17:56<9:38:47, 71.60s/it]
[VAL] Best epoch 16 | Best val score -0.869674 | DKL-prior 0.000436 | BCE 0.454729 | auROC 0.8697:   3%|▎         | 15/500 [19:07<9:38:47, 71.60s/it]
[VAL] Best epoch 16 | Best val score -0.869674 | DKL-prior 0.000436 | BCE 0.454729 | auROC 0.8697:   3%|▎         | 15/500 [19:07<9:38:47, 71.60s/it]
[VAL] Best epoch 16 | Best val score -0.869674 | DKL-prior 0.000436 | BCE 0.454729 | auROC 0.8697:   3%|▎         | 16/500 [19:07<9:37:42, 71.62s/it]
[VAL] Best epoch 17 | Best val score -0.873967 | DKL-prior 0.000444 | BCE 0.454551 | auROC 0.8740:   3%|▎         | 16/500 [20:19<9:37:42, 71.62s/it]
[VAL] Best epoch 17 | Best val score -0.873967 | DKL-prior 0.000444 | BCE 0.454551 | auROC 0.8740:   3%|▎         | 16/500 [20:19<9:37:42, 71.62s/it]
[VAL] Best epoch 17 | Best val score -0.873967 | DKL-prior 0.000444 | BCE 0.454551 | auROC 0.8740:   3%|▎         | 17/500 [20:19<9:36:19, 71.59s/it]
[VAL] Best epoch 18 | Best val score -0.875038 | DKL-prior 0.000409 | BCE 0.446058 | auROC 0.8750:   3%|▎         | 17/500 [21:31<9:36:19, 71.59s/it]
[VAL] Best epoch 18 | Best val score -0.875038 | DKL-prior 0.000409 | BCE 0.446058 | auROC 0.8750:   3%|▎         | 17/500 [21:31<9:36:19, 71.59s/it]
[VAL] Best epoch 18 | Best val score -0.875038 | DKL-prior 0.000409 | BCE 0.446058 | auROC 0.8750:   4%|▎         | 18/500 [21:31<9:34:55, 71.57s/it]
[VAL] Best epoch 19 | Best val score -0.875577 | DKL-prior 0.000400 | BCE 0.446103 | auROC 0.8756:   4%|▎         | 18/500 [22:42<9:34:55, 71.57s/it]
[VAL] Best epoch 19 | Best val score -0.875577 | DKL-prior 0.000400 | BCE 0.446103 | auROC 0.8756:   4%|▎         | 18/500 [22:42<9:34:55, 71.57s/it]
[VAL] Best epoch 19 | Best val score -0.875577 | DKL-prior 0.000400 | BCE 0.446103 | auROC 0.8756:   4%|▍         | 19/500 [22:42<9:33:55, 71.59s/it]
[VAL] Best epoch 20 | Best val score -0.885363 | DKL-prior 0.000392 | BCE 0.438074 | auROC 0.8854:   4%|▍         | 19/500 [23:54<9:33:55, 71.59s/it]
[VAL] Best epoch 20 | Best val score -0.885363 | DKL-prior 0.000392 | BCE 0.438074 | auROC 0.8854:   4%|▍         | 19/500 [23:54<9:33:55, 71.59s/it]
